gene_symbol,gene_id,is_upregulated_in_AD,brain_region,study,quality_assessment
SLC8A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFAB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNTB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARF5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPME1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCTD16,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC39A10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ALPK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TBC1D30,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V0E2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC2A13,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
USMG5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPRED3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SV2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SV2A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MDH2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYDE2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ROBO2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1467,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
B3GALT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HTR2A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGAP18,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KPNA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CACNA1E,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRPS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDK14,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM162A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATPIF1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
INA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
YWHAB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00643,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MCTP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PGBD5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NCEH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNCA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADAM11,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX7A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLITRK4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HPRT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARL6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PGRMC1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CYP46A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CAMKK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LARGE,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UROS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM3C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SH2D5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ANKRD42,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PDE2A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PDHB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PREPL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COL26A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SUB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNAH6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TPI1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FARSB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RTN4RL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EPDR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FH,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC100652824chr2:202937977-203061886,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RALYL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SH3RF1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TCTEX1D1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TNFAIP8L3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNO1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAP2K1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
IDH3G,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TTC8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
APOO,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PSD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CAMK2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCG2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HCN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AGBL4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UQCRFS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RGS7BP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CISD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CACNB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STXBP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BDH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PGAM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNAH9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CPNE6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
COX6C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NAPA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LUZP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPP2R1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CMAS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRDX5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RTN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRB3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACVR1C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CRMP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C8orf46,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARNTL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5G3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TUSC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
XK,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NECAB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GALNT9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V0D1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
gen-01,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRM7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CPT1C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYT16,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRP12,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NEGR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLCO1C1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DMXL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC45A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NIPSNAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GDA,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MPP7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NEFM,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLIT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C1orf95,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CYFIP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FRRS1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FUCA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AP3B2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C14orf2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRICKLE1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MOAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ME2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDFIP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDRG4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CTAGE5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ZNF804A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
INPP5J,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PHACTR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABARAPL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRKCE,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HOPX,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ZNF831,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CLSTN2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FOCAD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1751,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CA10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCYOX1L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM59L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRRIQ1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RTN4RL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PIM2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MRPL21,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EXTL1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRA5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AK5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPTB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCKBR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MLLT11,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDHR3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC6A7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HTR7P1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STIM2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NPTN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLCB1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDUFA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPEF2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RIMS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NECAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLIT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CHSY3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DAP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TUNAR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM169,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAP7D2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DPCD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MIR22HG,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MEST,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STXBP5L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TRAPPC2L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PKP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DGAT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCDC113,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAB3B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CIRBP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RBM20,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LANCL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LY6E,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PHYHIP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C1orf216,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SEZ6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SEZ6L2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRA1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLIT3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPRY1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC01279,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PNMA5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
WSCD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ENO2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNX10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNQ3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNAL4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRIA2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NCDN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC728730,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PDE1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PIFO,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ANXA6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYT13,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MICAL2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C14orf79,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCN8A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FILIP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLXNA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CNR1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DGKB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
THY1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM19A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LIN7B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RASGRF2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VDAC1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LMO4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RARRES2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACTL6B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CNTN6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAB3C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HS6ST2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TNFSF10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LYPD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAGEE1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SMYD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OLFM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNS3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CYP26B1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HYDIN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CHRNB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CACNA1H,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RBM3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDH9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DCC,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CGREF1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TRPC4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GABRG2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ACOT7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC1A6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP5G1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCK,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RGS2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC8A2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
45355,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NAP1L2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TENM2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GAD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPP3R1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CADPS,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYNPR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC24A4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LRRC9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00634,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NETO1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGEF9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SAMD5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNIP2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
EPHA6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00087,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP2B1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RAB27B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM35,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OTUB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SNCG,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00839,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SPINT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LPPR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
REEP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP1A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TUBB3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MFSD4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CDK5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PARM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CACNA2D1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC728554,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VAV3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PAK3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SULT4A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GOT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ERICH3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM200A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PSMA5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STX1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MMD,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNJ6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PAK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CHRM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NDST3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HMGCR,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NGFRAP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM198,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00889,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NWD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
HMGCS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RGS7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCDC80,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V1E1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RSPH1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MAGED1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ITGA8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCSK2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTGES,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
OLFM3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CALM3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C6orf118,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP6V1A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NUP93,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TUBB4B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ARHGEF25,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ATP1B1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RHBDD2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ADAMTS3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CLSPN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NR4A3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRKCB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RBP4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NEFL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
MOSPD1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PRMT8,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTPRN,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LINC00086,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ELOVL4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RASL10A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C9orf16,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NME5,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C10orf35,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TESC,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RIN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
BFSP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NMNAT2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
C11orf70,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM131A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
YWHAZ,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNAH10,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CNGA3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ITFG1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UNC13C,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TBC1D9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC283070,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CHN1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LDB2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
RNF128,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ANXA4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SLC17A7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
STYK1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PGM2L1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
QPCT,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PCDP1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PTK2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NAPB,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CNKSR2,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TSPAN7,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ITGA9,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC730101,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KIAA1257,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
CCDC103,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
LOC100288911chr2:36581891-36582713,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TAGLN3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SEZ6L,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
UNC13A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
NT5DC1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DNM1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRIN2B,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
KCNG3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYT4,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
VIP,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
ECHDC3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLD3,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
AP1S1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
DPP6,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PPL,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
GRIN2A,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SCART1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
SYT1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
PLS1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
FAM189A1,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
TMEM215,NA,FALSE,hippocampal CA1 region,Annese et al.,1.9
